!MOLECULE
OCS
!MOLECULAR WEIGHT
60.0
!NUMBER OF ENERGY LEVELS
99
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
 2206    67    61  9.4e-12 1.2e-11 1.5e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.6e-11
 2207    67    62  8.9e-12 1.2e-11 1.4e-11 1.4e-11 1.5e-11 1.5e-11 1.7e-11 1.8e-11
 2208    67    63  3.1e-11 3.8e-11 4.5e-11 4.6e-11 4.8e-11 4.9e-11 5.9e-11 7.2e-11
 2209    67    64  1.4e-11 2.1e-11 2.9e-11 3.3e-11 3.6e-11 3.7e-11 4.2e-11 5.0e-11
 2210    67    65  7.8e-11 1.0e-10 1.2e-10 1.2e-10 1.2e-10 1.3e-10 1.4e-10 1.7e-10
 2211    67    66  4.3e-11 5.5e-11 6.4e-11 6.8e-11 7.0e-11 7.1e-11 7.7e-11 8.2e-11
 2212    68     1  4.1e-22 2.0e-22 5.7e-23 4.1e-23 4.6e-23 5.5e-23 4.2e-23 4.6e-23
 2213    68     2  1.3e-21 6.5e-22 1.8e-22 1.3e-22 1.5e-22 1.8e-22 1.4e-22 1.5e-22
 2214    68     3  2.5e-21 1.2e-21 3.5e-22 2.6e-22 2.9e-22 3.4e-22 2.6e-22 2.9e-22
 2215    68     4  4.0e-21 2.0e-21 6.0e-22 4.4e-22 4.9e-22 5.8e-22 4.5e-22 5.0e-22
 2216    68     5  6.3e-21 3.3e-21 9.9e-22 7.3e-22 8.1e-22 9.6e-22 7.5e-22 8.3e-22
 2217    68     6  9.7e-21 5.1e-21 1.6e-21 1.2e-21 1.3e-21 1.5e-21 1.2e-21 1.3e-21
 2218    68     7  1.5e-20 7.9e-21 2.5e-21 1.9e-21 2.1e-21 2.5e-21 1.9e-21 2.1e-21
 2219    68     8  2.2e-20 1.2e-20 3.9e-21 3.0e-21 3.3e-21 3.9e-21 3.1e-21 3.4e-21
 2220    68     9  3.3e-20 1.8e-20 6.2e-21 4.7e-21 5.2e-21 6.1e-21 4.9e-21 5.4e-21
 2221    68    10  5.0e-20 2.8e-20 9.6e-21 7.3e-21 8.1e-21 9.5e-21 7.6e-21 8.5e-21
 2222    68    11  7.3e-20 4.2e-20 1.5e-20 1.1e-20 1.3e-20 1.5e-20 1.2e-20 1.3e-20
 2223    68    12  1.1e-19 6.4e-20 2.3e-20 1.8e-20 2.0e-20 2.3e-20 1.9e-20 2.1e-20
 2224    68    13  1.6e-19 9.6e-20 3.5e-20 2.7e-20 3.0e-20 3.5e-20 2.9e-20 3.2e-20
 2225    68    14  2.4e-19 1.4e-19 5.4e-20 4.3e-20 4.7e-20 5.4e-20 4.5e-20 5.0e-20
 2226    68    15  3.5e-19 2.1e-19 8.3e-20 6.5e-20 7.2e-20 8.4e-20 7.0e-20 7.7e-20
 2227    68    16  5.1e-19 3.2e-19 1.3e-19 1.0e-19 1.1e-19 1.3e-19 1.1e-19 1.2e-19
 2228    68    17  7.4e-19 4.7e-19 1.9e-19 1.5e-19 1.7e-19 2.0e-19 1.6e-19 1.8e-19
 2229    68    18  1.1e-18 7.0e-19 2.9e-19 2.4e-19 2.6e-19 3.0e-19 2.5e-19 2.8e-19
 2230    68    19  1.6e-18 1.0e-18 4.5e-19 3.6e-19 4.0e-19 4.6e-19 3.9e-19 4.3e-19
 2231    68    20  2.3e-18 1.6e-18 6.8e-19 5.5e-19 6.1e-19 6.9e-19 6.0e-19 6.7e-19
 2232    68    21  3.3e-18 2.3e-18 1.0e-18 8.4e-19 9.3e-19 1.1e-18 9.1e-19 1.0e-18
 2233    68    22  4.9e-18 3.4e-18 1.6e-18 1.3e-18 1.4e-18 1.6e-18 1.4e-18 1.6e-18
 2234    68    23  7.1e-18 5.0e-18 2.3e-18 2.0e-18 2.1e-18 2.4e-18 2.1e-18 2.4e-18
 2235    68    24  1.0e-17 7.4e-18 3.5e-18 3.0e-18 3.3e-18 3.7e-18 3.3e-18 3.6e-18
 2236    68    25  1.5e-17 1.1e-17 5.3e-18 4.5e-18 4.9e-18 5.6e-18 4.9e-18 5.5e-18
 2237    68    26  2.2e-17 1.6e-17 8.0e-18 6.8e-18 7.5e-18 8.4e-18 7.5e-18 8.4e-18
 2238    68    27  3.1e-17 2.3e-17 1.2e-17 1.0e-17 1.1e-17 1.3e-17 1.1e-17 1.3e-17
 2239    68    28  4.5e-17 3.4e-17 1.8e-17 1.6e-17 1.7e-17 1.9e-17 1.7e-17 1.9e-17
 2240    68    29  6.5e-17 5.1e-17 2.7e-17 2.4e-17 2.6e-17 2.9e-17 2.6e-17 3.0e-17
 2241    68    30  9.4e-17 7.4e-17 4.1e-17 3.6e-17 3.9e-17 4.4e-17 4.0e-17 4.5e-17
 2242    68    31  1.3e-16 1.1e-16 6.2e-17 5.4e-17 5.9e-17 6.6e-17 6.0e-17 6.8e-17
 2243    68    32  1.9e-16 1.6e-16 9.2e-17 8.1e-17 8.9e-17 9.9e-17 9.1e-17 1.0e-16
 2244    68    33  2.8e-16 2.3e-16 1.4e-16 1.2e-16 1.3e-16 1.5e-16 1.4e-16 1.6e-16
 2245    68    34  4.0e-16 3.4e-16 2.1e-16 1.8e-16 2.0e-16 2.2e-16 2.1e-16 2.4e-16
 2246    68    35  5.8e-16 5.0e-16 3.1e-16 2.8e-16 3.0e-16 3.3e-16 3.2e-16 3.5e-16
 2247    68    36  8.3e-16 7.3e-16 4.6e-16 4.2e-16 4.5e-16 5.0e-16 4.8e-16 5.4e-16
 2248    68    37  1.2e-15 1.1e-15 6.9e-16 6.3e-16 6.8e-16 7.5e-16 7.2e-16 8.1e-16
 2249    68    38  1.7e-15 1.5e-15 1.0e-15 9.4e-16 1.0e-15 1.1e-15 1.1e-15 1.2e-15
 2250    68    39  2.5e-15 2.3e-15 1.5e-15 1.4e-15 1.5e-15 1.7e-15 1.6e-15 1.8e-15
 2251    68    40  3.6e-15 3.3e-15 2.3e-15 2.1e-15 2.3e-15 2.5e-15 2.4e-15 2.8e-15
 2252    68    41  5.1e-15 4.8e-15 3.4e-15 3.2e-15 3.4e-15 3.7e-15 3.7e-15 4.1e-15
 2253    68    42  7.3e-15 7.0e-15 5.1e-15 4.8e-15 5.1e-15 5.6e-15 5.5e-15 6.2e-15
 2254    68    43  1.0e-14 1.0e-14 7.6e-15 7.1e-15 7.7e-15 8.3e-15 8.3e-15 9.3e-15
 2255    68    44  1.5e-14 1.5e-14 1.1e-14 1.1e-14 1.1e-14 1.2e-14 1.2e-14 1.4e-14
 2256    68    45  2.1e-14 2.1e-14 1.7e-14 1.6e-14 1.7e-14 1.9e-14 1.9e-14 2.1e-14
 2257    68    46  3.1e-14 3.1e-14 2.5e-14 2.4e-14 2.5e-14 2.7e-14 2.8e-14 3.1e-14
 2258    68    47  4.4e-14 4.5e-14 3.7e-14 3.5e-14 3.8e-14 4.1e-14 4.1e-14 4.7e-14
 2259    68    48  6.2e-14 6.5e-14 5.4e-14 5.2e-14 5.6e-14 6.0e-14 6.2e-14 7.0e-14
 2260    68    49  8.9e-14 9.4e-14 8.0e-14 7.8e-14 8.4e-14 8.9e-14 9.2e-14 1.0e-13
 2261    68    50  1.3e-13 1.4e-13 1.2e-13 1.2e-13 1.2e-13 1.3e-13 1.4e-13 1.5e-13
 2262    68    51  1.8e-13 2.0e-13 1.7e-13 1.7e-13 1.8e-13 2.0e-13 2.0e-13 2.3e-13
 2263    68    52  2.6e-13 2.8e-13 2.6e-13 2.5e-13 2.7e-13 2.9e-13 3.0e-13 3.4e-13
 2264    68    53  3.6e-13 4.1e-13 3.8e-13 3.8e-13 4.0e-13 4.3e-13 4.5e-13 5.0e-13
 2265    68    54  5.1e-13 5.8e-13 5.5e-13 5.5e-13 5.9e-13 6.2e-13 6.6e-13 7.5e-13
 2266    68    55  7.2e-13 8.3e-13 8.1e-13 8.1e-13 8.7e-13 9.2e-13 9.7e-13 1.1e-12
 2267    68    56  1.6e-12 1.7e-12 1.6e-12 1.6e-12 1.7e-12 1.8e-12 2.0e-12 2.4e-12
 2268    68    57  3.9e-12 5.0e-12 5.3e-12 5.3e-12 5.4e-12 5.2e-12 5.0e-12 5.2e-12
 2269    68    58  2.9e-12 3.6e-12 3.7e-12 3.9e-12 4.2e-12 4.6e-12 5.5e-12 6.8e-12
 2270    68    59  4.3e-12 5.2e-12 5.5e-12 5.4e-12 5.5e-12 5.4e-12 5.1e-12 5.0e-12
 2271    68    60  4.7e-12 6.2e-12 7.1e-12 8.0e-12 8.9e-12 9.8e-12 1.3e-11 1.7e-11
 2272    68    61  5.4e-12 6.5e-12 6.9e-12 6.7e-12 7.1e-12 7.1e-12 6.8e-12 6.5e-12
 2273    68    62  9.3e-12 1.2e-11 1.5e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.6e-11
 2274    68    63  8.8e-12 1.1e-11 1.3e-11 1.4e-11 1.5e-11 1.5e-11 1.7e-11 1.8e-11
 2275    68    64  3.0e-11 3.8e-11 4.5e-11 4.6e-11 4.8e-11 4.9e-11 5.9e-11 7.2e-11
 2276    68    65  1.4e-11 2.0e-11 2.9e-11 3.3e-11 3.6e-11 3.6e-11 4.2e-11 5.0e-11
 2277    68    66  7.6e-11 9.9e-11 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.4e-10 1.7e-10
 2278    68    67  4.3e-11 5.4e-11 6.4e-11 6.8e-11 7.0e-11 7.1e-11 7.6e-11 8.2e-11
 2279    69     1  2.8e-22 1.4e-22 3.8e-23 2.7e-23 3.0e-23 3.6e-23 2.8e-23 3.1e-23
 2280    69     2  9.0e-22 4.4e-22 1.2e-22 8.9e-23 9.9e-23 1.2e-22 9.0e-23 9.9e-23
 2281    69     3  1.7e-21 8.3e-22 2.4e-22 1.7e-22 1.9e-22 2.3e-22 1.7e-22 1.9e-22
 2282    69     4  2.8e-21 1.4e-21 4.0e-22 2.9e-22 3.3e-22 3.9e-22 3.0e-22 3.3e-22
 2283    69     5  4.3e-21 2.2e-21 6.6e-22 4.8e-22 5.4e-22 6.4e-22 5.0e-22 5.5e-22
 2284    69     6  6.7e-21 3.5e-21 1.1e-21 7.8e-22 8.7e-22 1.0e-21 8.0e-22 8.9e-22
 2285    69     7  1.0e-20 5.4e-21 1.7e-21 1.2e-21 1.4e-21 1.6e-21 1.3e-21 1.4e-21
 2286    69     8  1.5e-20 8.2e-21 2.6e-21 2.0e-21 2.2e-21 2.6e-21 2.0e-21 2.3e-21
 2287    69     9  2.3e-20 1.2e-20 4.1e-21 3.1e-21 3.5e-21 4.0e-21 3.2e-21 3.6e-21
 2288    69    10  3.4e-20 1.9e-20 6.4e-21 4.9e-21 5.4e-21 6.3e-21 5.1e-21 5.6e-21
 2289    69    11  5.1e-20 2.9e-20 9.9e-21 7.6e-21 8.4e-21 9.8e-21 7.9e-21 8.8e-21
 2290    69    12  7.5e-20 4.3e-20 1.5e-20 1.2e-20 1.3e-20 1.5e-20 1.2e-20 1.4e-20
 2291    69    13  1.1e-19 6.5e-20 2.4e-20 1.8e-20 2.0e-20 2.4e-20 1.9e-20 2.1e-20
 2292    69    14  1.6e-19 9.7e-20 3.6e-20 2.8e-20 3.1e-20 3.6e-20 3.0e-20 3.3e-20
 2293    69    15  2.4e-19 1.5e-19 5.5e-20 4.3e-20 4.8e-20 5.6e-20 4.6e-20 5.1e-20
 2294    69    16  3.5e-19 2.2e-19 8.5e-20 6.7e-20 7.4e-20 8.5e-20 7.1e-20 7.9e-20
 2295    69    17  5.1e-19 3.2e-19 1.3e-19 1.0e-19 1.1e-19 1.3e-19 1.1e-19 1.2e-19
 2296    69    18  7.5e-19 4.8e-19 2.0e-19 1.6e-19 1.7e-19 2.0e-19 1.7e-19 1.9e-19
 2297    69    19  1.1e-18 7.1e-19 3.0e-19 2.4e-19 2.6e-19 3.0e-19 2.6e-19 2.9e-19
 2298    69    20  1.6e-18 1.0e-18 4.5e-19 3.7e-19 4.0e-19 4.6e-19 4.0e-19 4.4e-19
 2299    69    21  2.3e-18 1.6e-18 6.9e-19 5.6e-19 6.2e-19 7.1e-19 6.1e-19 6.8e-19
 2300    69    22  3.3e-18 2.3e-18 1.0e-18 8.5e-19 9.4e-19 1.1e-18 9.3e-19 1.0e-18
 2301    69    23  4.9e-18 3.4e-18 1.6e-18 1.3e-18 1.4e-18 1.6e-18 1.4e-18 1.6e-18
 2302    69    24  7.1e-18 5.0e-18 2.4e-18 2.0e-18 2.2e-18 2.5e-18 2.2e-18 2.4e-18
 2303    69    25  1.0e-17 7.4e-18 3.6e-18 3.0e-18 3.3e-18 3.7e-18 3.3e-18 3.7e-18
 2304    69    26  1.5e-17 1.1e-17 5.4e-18 4.5e-18 5.0e-18 5.6e-18 5.0e-18 5.6e-18
 2305    69    27  2.1e-17 1.6e-17 8.1e-18 6.9e-18 7.5e-18 8.5e-18 7.6e-18 8.5e-18
 2306    69    28  3.1e-17 2.3e-17 1.2e-17 1.0e-17 1.1e-17 1.3e-17 1.2e-17 1.3e-17
 2307    69    29  4.5e-17 3.4e-17 1.8e-17 1.6e-17 1.7e-17 1.9e-17 1.8e-17 2.0e-17
 2308    69    30  6.4e-17 5.1e-17 2.8e-17 2.4e-17 2.6e-17 2.9e-17 2.7e-17 3.0e-17
 2309    69    31  9.3e-17 7.4e-17 4.1e-17 3.6e-17 3.9e-17 4.4e-17 4.0e-17 4.5e-17
 2310    69    32  1.3e-16 1.1e-16 6.2e-17 5.4e-17 5.9e-17 6.6e-17 6.1e-17 6.9e-17
 2311    69    33  1.9e-16 1.6e-16 9.3e-17 8.2e-17 8.9e-17 9.9e-17 9.2e-17 1.0e-16
 2312    69    34  2.8e-16 2.3e-16 1.4e-16 1.2e-16 1.3e-16 1.5e-16 1.4e-16 1.6e-16
 2313    69    35  4.0e-16 3.4e-16 2.1e-16 1.9e-16 2.0e-16 2.2e-16 2.1e-16 2.4e-16
 2314    69    36  5.7e-16 5.0e-16 3.1e-16 2.8e-16 3.0e-16 3.4e-16 3.2e-16 3.6e-16
 2315    69    37  8.3e-16 7.3e-16 4.6e-16 4.2e-16 4.6e-16 5.0e-16 4.8e-16 5.4e-16
 2316    69    38  1.2e-15 1.1e-15 6.9e-16 6.3e-16 6.8e-16 7.5e-16 7.2e-16 8.1e-16
 2317    69    39  1.7e-15 1.5e-15 1.0e-15 9.5e-16 1.0e-15 1.1e-15 1.1e-15 1.2e-15
 2318    69    40  2.4e-15 2.3e-15 1.5e-15 1.4e-15 1.5e-15 1.7e-15 1.6e-15 1.8e-15
 2319    69    41  3.5e-15 3.3e-15 2.3e-15 2.1e-15 2.3e-15 2.5e-15 2.4e-15 2.8e-15
 2320    69    42  5.0e-15 4.8e-15 3.4e-15 3.2e-15 3.5e-15 3.8e-15 3.7e-15 4.2e-15
 2321    69    43  7.2e-15 7.0e-15 5.1e-15 4.8e-15 5.2e-15 5.6e-15 5.5e-15 6.2e-15
 2322    69    44  1.0e-14 1.0e-14 7.6e-15 7.1e-15 7.7e-15 8.4e-15 8.3e-15 9.3e-15
 2323    69    45  1.5e-14 1.5e-14 1.1e-14 1.1e-14 1.1e-14 1.2e-14 1.2e-14 1.4e-14
 2324    69    46  2.1e-14 2.1e-14 1.7e-14 1.6e-14 1.7e-14 1.9e-14 1.9e-14 2.1e-14
 2325    69    47  3.0e-14 3.1e-14 2.5e-14 2.4e-14 2.5e-14 2.7e-14 2.8e-14 3.1e-14
 2326    69    48  4.3e-14 4.5e-14 3.7e-14 3.5e-14 3.8e-14 4.1e-14 4.1e-14 4.7e-14
 2327    69    49  6.1e-14 6.5e-14 5.4e-14 5.2e-14 5.6e-14 6.0e-14 6.2e-14 7.0e-14
 2328    69    50  8.8e-14 9.4e-14 8.0e-14 7.8e-14 8.4e-14 9.0e-14 9.2e-14 1.0e-13
 2329    69    51  1.2e-13 1.4e-13 1.2e-13 1.2e-13 1.2e-13 1.3e-13 1.4e-13 1.5e-13
 2330    69    52  1.8e-13 2.0e-13 1.7e-13 1.7e-13 1.8e-13 2.0e-13 2.0e-13 2.3e-13
 2331    69    53  2.5e-13 2.8e-13 2.6e-13 2.5e-13 2.7e-13 2.9e-13 3.0e-13 3.4e-13
 2332    69    54  3.6e-13 4.0e-13 3.8e-13 3.8e-13 4.0e-13 4.3e-13 4.5e-13 5.0e-13
 2333    69    55  5.0e-13 5.8e-13 5.5e-13 5.5e-13 5.9e-13 6.2e-13 6.6e-13 7.5e-13
 2334    69    56  7.1e-13 8.3e-13 8.1e-13 8.1e-13 8.7e-13 9.1e-13 9.7e-13 1.1e-12
 2335    69    57  1.6e-12 1.7e-12 1.6e-12 1.6e-12 1.7e-12 1.8e-12 2.0e-12 2.4e-12
 2336    69    58  3.8e-12 4.9e-12 5.3e-12 5.3e-12 5.4e-12 5.2e-12 5.1e-12 5.2e-12
 2337    69    59  2.9e-12 3.5e-12 3.7e-12 3.9e-12 4.2e-12 4.6e-12 5.5e-12 6.8e-12
 2338    69    60  4.2e-12 5.2e-12 5.5e-12 5.4e-12 5.5e-12 5.4e-12 5.1e-12 5.0e-12
 2339    69    61  4.6e-12 6.1e-12 7.1e-12 8.0e-12 8.9e-12 9.8e-12 1.3e-11 1.7e-11
 2340    69    62  5.4e-12 6.4e-12 6.8e-12 6.7e-12 7.1e-12 7.1e-12 6.8e-12 6.5e-12
 2341    69    63  9.1e-12 1.2e-11 1.5e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.6e-11
 2342    69    64  8.7e-12 1.1e-11 1.3e-11 1.4e-11 1.5e-11 1.5e-11 1.7e-11 1.8e-11
 2343    69    65  3.0e-11 3.8e-11 4.4e-11 4.5e-11 4.8e-11 4.9e-11 5.9e-11 7.2e-11
 2344    69    66  1.3e-11 2.0e-11 2.9e-11 3.3e-11 3.6e-11 3.6e-11 4.2e-11 5.0e-11
 2345    69    67  7.5e-11 9.8e-11 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.4e-10 1.6e-10
 2346    69    68  4.2e-11 5.4e-11 6.4e-11 6.8e-11 7.0e-11 7.1e-11 7.6e-11 8.2e-11
 2347    70     1  1.9e-22 9.3e-23 2.5e-23 1.8e-23 2.0e-23 2.4e-23 1.8e-23 2.0e-23
 2348    70     2  6.2e-22 3.0e-22 8.2e-23 5.9e-23 6.5e-23 7.8e-23 5.9e-23 6.6e-23
 2349    70     3  1.2e-21 5.7e-22 1.6e-22 1.1e-22 1.3e-22 1.5e-22 1.1e-22 1.3e-22
 2350    70     4  1.9e-21 9.5e-22 2.7e-22 1.9e-22 2.2e-22 2.6e-22 2.0e-22 2.2e-22
 2351    70     5  3.0e-21 1.5e-21 4.4e-22 3.2e-22 3.6e-22 4.2e-22 3.3e-22 3.6e-22
 2352    70     6  4.6e-21 2.4e-21 7.0e-22 5.2e-22 5.8e-22 6.8e-22 5.3e-22 5.9e-22
 2353    70     7  7.0e-21 3.7e-21 1.1e-21 8.3e-22 9.2e-22 1.1e-21 8.5e-22 9.4e-22
 2354    70     8  1.0e-20 5.6e-21 1.8e-21 1.3e-21 1.5e-21 1.7e-21 1.4e-21 1.5e-21
 2355    70     9  1.6e-20 8.5e-21 2.7e-21 2.1e-21 2.3e-21 2.7e-21 2.1e-21 2.4e-21
 2356    70    10  2.4e-20 1.3e-20 4.3e-21 3.2e-21 3.6e-21 4.2e-21 3.4e-21 3.7e-21
 2357    70    11  3.5e-20 2.0e-20 6.6e-21 5.0e-21 5.6e-21 6.6e-21 5.3e-21 5.9e-21
 2358    70    12  5.2e-20 2.9e-20 1.0e-20 7.8e-21 8.7e-21 1.0e-20 8.2e-21 9.1e-21
 2359    70    13  7.6e-20 4.4e-20 1.6e-20 1.2e-20 1.3e-20 1.6e-20 1.3e-20 1.4e-20
 2360    70    14  1.1e-19 6.6e-20 2.4e-20 1.9e-20 2.1e-20 2.4e-20 2.0e-20 2.2e-20
 2361    70    15  1.6e-19 9.9e-20 3.7e-20 2.9e-20 3.2e-20 3.7e-20 3.1e-20 3.4e-20
 2362    70    16  2.4e-19 1.5e-19 5.6e-20 4.4e-20 4.9e-20 5.7e-20 4.7e-20 5.3e-20
 2363    70    17  3.5e-19 2.2e-19 8.6e-20 6.8e-20 7.5e-20 8.7e-20 7.3e-20 8.1e-20
 2364    70    18  5.1e-19 3.3e-19 1.3e-19 1.0e-19 1.1e-19 1.3e-19 1.1e-19 1.3e-19
 2365    70    19  7.5e-19 4.9e-19 2.0e-19 1.6e-19 1.8e-19 2.0e-19 1.7e-19 1.9e-19
 2366    70    20  1.1e-18 7.2e-19 3.0e-19 2.4e-19 2.7e-19 3.1e-19 2.6e-19 2.9e-19
 2367    70    21  1.6e-18 1.1e-18 4.6e-19 3.7e-19 4.1e-19 4.7e-19 4.0e-19 4.5e-19
 2368    70    22  2.3e-18 1.6e-18 6.9e-19 5.7e-19 6.3e-19 7.2e-19 6.2e-19 6.9e-19
 2369    70    23  3.3e-18 2.3e-18 1.0e-18 8.6e-19 9.5e-19 1.1e-18 9.4e-19 1.0e-18
 2370    70    24  4.9e-18 3.4e-18 1.6e-18 1.3e-18 1.4e-18 1.6e-18 1.4e-18 1.6e-18
 2371    70    25  7.0e-18 5.0e-18 2.4e-18 2.0e-18 2.2e-18 2.5e-18 2.2e-18 2.5e-18
 2372    70    26  1.0e-17 7.4e-18 3.6e-18 3.0e-18 3.3e-18 3.8e-18 3.3e-18 3.7e-18
 2373    70    27  1.5e-17 1.1e-17 5.4e-18 4.6e-18 5.0e-18 5.7e-18 5.1e-18 5.7e-18
 2374    70    28  2.1e-17 1.6e-17 8.2e-18 6.9e-18 7.6e-18 8.6e-18 7.7e-18 8.6e-18
 2375    70    29  3.1e-17 2.4e-17 1.2e-17 1.0e-17 1.2e-17 1.3e-17 1.2e-17 1.3e-17
 2376    70    30  4.4e-17 3.5e-17 1.8e-17 1.6e-17 1.7e-17 1.9e-17 1.8e-17 2.0e-17
 2377    70    31  6.4e-17 5.1e-17 2.8e-17 2.4e-17 2.6e-17 2.9e-17 2.7e-17 3.0e-17
 2378    70    32  9.2e-17 7.4e-17 4.2e-17 3.6e-17 4.0e-17 4.4e-17 4.1e-17 4.6e-17
 2379    70    33  1.3e-16 1.1e-16 6.2e-17 5.4e-17 6.0e-17 6.6e-17 6.1e-17 6.9e-17
 2380    70    34  1.9e-16 1.6e-16 9.3e-17 8.2e-17 9.0e-17 1.0e-16 9.3e-17 1.0e-16
 2381    70    35  2.8e-16 2.3e-16 1.4e-16 1.2e-16 1.3e-16 1.5e-16 1.4e-16 1.6e-16
 2382    70    36  4.0e-16 3.4e-16 2.1e-16 1.9e-16 2.0e-16 2.3e-16 2.1e-16 2.4e-16
 2383    70    37  5.7e-16 5.0e-16 3.1e-16 2.8e-16 3.0e-16 3.4e-16 3.2e-16 3.6e-16
 2384    70    38  8.2e-16 7.3e-16 4.6e-16 4.2e-16 4.6e-16 5.1e-16 4.8e-16 5.4e-16
 2385    70    39  1.2e-15 1.1e-15 6.9e-16 6.3e-16 6.9e-16 7.6e-16 7.2e-16 8.2e-16
 2386    70    40  1.7e-15 1.5e-15 1.0e-15 9.5e-16 1.0e-15 1.1e-15 1.1e-15 1.2e-15
 2387    70    41  2.4e-15 2.2e-15 1.5e-15 1.4e-15 1.5e-15 1.7e-15 1.6e-15 1.9e-15
 2388    70    42  3.5e-15 3.3e-15 2.3e-15 2.1e-15 2.3e-15 2.5e-15 2.5e-15 2.8e-15
 2389    70    43  5.0e-15 4.8e-15 3.4e-15 3.2e-15 3.5e-15 3.8e-15 3.7e-15 4.2e-15
 2390    70    44  7.1e-15 6.9e-15 5.1e-15 4.8e-15 5.2e-15 5.6e-15 5.5e-15 6.3e-15
 2391    70    45  1.0e-14 1.0e-14 7.6e-15 7.1e-15 7.7e-15 8.4e-15 8.3e-15 9.4e-15
 2392    70    46  1.5e-14 1.5e-14 1.1e-14 1.1e-14 1.1e-14 1.3e-14 1.2e-14 1.4e-14
 2393    70    47  2.1e-14 2.1e-14 1.7e-14 1.6e-14 1.7e-14 1.9e-14 1.9e-14 2.1e-14
 2394    70    48  3.0e-14 3.1e-14 2.5e-14 2.4e-14 2.6e-14 2.7e-14 2.8e-14 3.1e-14
 2395    70    49  4.3e-14 4.4e-14 3.7e-14 3.5e-14 3.8e-14 4.1e-14 4.1e-14 4.7e-14
 2396    70    50  6.1e-14 6.4e-14 5.4e-14 5.2e-14 5.6e-14 6.1e-14 6.2e-14 7.0e-14
 2397    70    51  8.6e-14 9.3e-14 8.0e-14 7.8e-14 8.4e-14 9.0e-14 9.2e-14 1.0e-13
 2398    70    52  1.2e-13 1.3e-13 1.2e-13 1.2e-13 1.2e-13 1.3e-13 1.4e-13 1.5e-13
 2399    70    53  1.8e-13 1.9e-13 1.7e-13 1.7e-13 1.8e-13 2.0e-13 2.0e-13 2.3e-13
 2400    70    54  2.5e-13 2.8e-13 2.6e-13 2.5e-13 2.7e-13 2.9e-13 3.0e-13 3.4e-13
 2401    70    55  3.5e-13 4.0e-13 3.8e-13 3.7e-13 4.0e-13 4.3e-13 4.5e-13 5.1e-13
 2402    70    56  5.0e-13 5.7e-13 5.5e-13 5.5e-13 5.9e-13 6.2e-13 6.6e-13 7.5e-13
 2403    70    57  7.0e-13 8.2e-13 8.0e-13 8.1e-13 8.7e-13 9.1e-13 9.7e-13 1.1e-12
 2404    70    58  1.6e-12 1.7e-12 1.6e-12 1.6e-12 1.7e-12 1.8e-12 2.0e-12 2.4e-12
 2405    70    59  3.8e-12 4.9e-12 5.3e-12 5.3e-12 5.4e-12 5.2e-12 5.1e-12 5.2e-12
 2406    70    60  2.8e-12 3.5e-12 3.7e-12 3.9e-12 4.2e-12 4.6e-12 5.5e-12 6.8e-12
 2407    70    61  4.1e-12 5.2e-12 5.5e-12 5.4e-12 5.5e-12 5.4e-12 5.1e-12 5.0e-12
 2408    70    62  4.5e-12 6.1e-12 7.1e-12 8.0e-12 8.9e-12 9.8e-12 1.3e-11 1.7e-11
 2409    70    63  5.3e-12 6.4e-12 6.8e-12 6.7e-12 7.1e-12 7.1e-12 6.8e-12 6.5e-12
 2410    70    64  9.0e-12 1.2e-11 1.5e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.6e-11
 2411    70    65  8.5e-12 1.1e-11 1.3e-11 1.4e-11 1.5e-11 1.5e-11 1.7e-11 1.8e-11
 2412    70    66  2.9e-11 3.7e-11 4.4e-11 4.5e-11 4.7e-11 4.9e-11 5.9e-11 7.2e-11
 2413    70    67  1.3e-11 2.0e-11 2.9e-11 3.2e-11 3.6e-11 3.6e-11 4.2e-11 5.0e-11
 2414    70    68  7.4e-11 9.7e-11 1.1e-10 1.2e-10 1.2e-10 1.2e-10 1.4e-10 1.6e-10
 2415    70    69  4.1e-11 5.3e-11 6.3e-11 6.8e-11 7.0e-11 7.1e-11 7.6e-11 8.2e-11
 2416    71     1  1.3e-22 6.4e-23 1.7e-23 1.2e-23 1.3e-23 1.6e-23 1.2e-23 1.3e-23
 2417    71     2  4.3e-22 2.0e-22 5.5e-23 3.9e-23 4.4e-23 5.2e-23 3.9e-23 4.4e-23
 2418    71     3  8.0e-22 3.9e-22 1.1e-22 7.5e-23 8.4e-23 1.0e-22 7.6e-23 8.4e-23
 2419    71     4  1.3e-21 6.4e-22 1.8e-22 1.3e-22 1.4e-22 1.7e-22 1.3e-22 1.5e-22
 2420    71     5  2.1e-21 1.0e-21 2.9e-22 2.1e-22 2.4e-22 2.8e-22 2.2e-22 2.4e-22
 2421    71     6  3.2e-21 1.6e-21 4.7e-22 3.4e-22 3.8e-22 4.6e-22 3.5e-22 3.9e-22
 2422    71     7  4.8e-21 2.5e-21 7.5e-22 5.5e-22 6.1e-22 7.2e-22 5.6e-22 6.2e-22
