Species_Name,Species_formula,Phase,Image,DfH_0K,DfH_298K,Uncertainty,Units,Relative_Molecular_Mass,ATcT_ID
Bromoniumyl,[HBr]+,g,,1098.16,1090.32,0.12,kJ/mol,80.9114 ±0.0010,12258-64-9*0
Triiodine,I3,g,,153.4,149.4,3.6,kJ/mol,380.713410 ±0.000090,12596-31-5*0
"2,4-Hexadiyne",CH3CCCCCH3,"cr,l",,319.18,312.82,0.95,kJ/mol,78.1118 ±0.0048,2809-69-0*500
"2,4,5-Trioxa-1,3-diazabicyclo[1.1.1]pentane",N(O3)N,g,,602.6,593.3,2.1,kJ/mol,76.01168 ±0.00091,224950-18-9*0
Hydrogen chloride,HCl,"aq, 2439 H2O",,,-166.711,0.023,kJ/mol,36.46064 ±0.00090,7647-01-0*951
Trimethylenecyclopropane,(C3)(CH2)3,g,,454.2,441.4,1.8,kJ/mol,78.1118 ±0.0048,3227-90-5*0
"3,4-Bis(methylene)cyclobutene",CH2(CCHCHC)CH2,g,,355.6,341.0,1.8,kJ/mol,78.1118 ±0.0048,5291-90-7*0
1-Ethynylcyclobutene,HCCC(CHCH2CH2),g,,402.3,388.0,1.8,kJ/mol,78.1118 ±0.0048,813466-25-0*0
"3-Methyl-1,2-pentadien-4-yne",CH2CC(CH3)CCH,g,,414.7,403.5,2.2,kJ/mol,78.1118 ±0.0048,813466-14-7*0
Tetraoxodinitrogen cation,[O2NNO2]+,g,,1030.7,1025.2,2.6,kJ/mol,92.0105 ±0.0012,64476-91-1*0
Oxygen atom hexacation,[O]+6,g,,42035.28,42037.14,0.12,kJ/mol,15.99611 ±0.00030,14158-22-6*0
1-Ethynyl-2-propyn-1-ylidene,HCCCCCH,"g, singlet C2v",,787.5,792.5,2.1,kJ/mol,62.0694 ±0.0040,882068-94-2*21
1-Ethynyl-2-propyn-1-ylidene,HCCCCCH,"g, singlet Cs",,796.1,801.0,2.6,kJ/mol,62.0694 ±0.0040,882068-94-2*22
"1,3-Pentadiyne-1.5-diyl",CH2CCCC,g,,783.8,787.3,2.1,kJ/mol,62.0694 ±0.0040,117992-81-1*0
"1,3-Pentadiyne",HCCCCCH3,"cr,l",,,385.1,5.0,kJ/mol,64.0853 ±0.0040,4911-55-1*500
Azide,[NNN]-,aq,,,272.72,0.47,kJ/mol,42.02077 ±0.00021,14343-69-2*800
"Penta-1,4-diyn-3-ide",[CHCCHCCH]-,"g, syn",,443.9,443.3,3.2,kJ/mol,63.0779 ±0.0040,553662-77-4*1
n-Heptane,CH3(CH2)5CH3,"cr,l",,-201.47,-223.92,0.44,kJ/mol,100.2019 ±0.0057,142-82-5*500
1-Aminoethylium,[CH3CHNH2]+,g,,683.4,664.8,2.3,kJ/mol,44.0752 ±0.0017,*30208-36-7*0
Bromosyl bromide,BrBrO,g,,180.4,164.6,2.1,kJ/mol,175.8074 ±0.0020,68322-97-4*0
1-Propanamine,CH3CH2CH2NH2,"cr,l",,-93.77,-101.38,0.4,kJ/mol,59.1103 ±0.0025,107-10-8*500
Oxobromonium,[BrO]+,g,,1140.0,1132.2,1.6,kJ/mol,95.9029 ±0.0010,142315-39-7*0
2-Propanamine,CH3CH(CH3)NH2,"cr,l",,-101.53,-112.14,0.52,kJ/mol,59.1103 ±0.0025,75-31-0*500
Naphthalene,C6H4(C4H4),"cr,l",,94.7,75.11,0.55,kJ/mol,128.1705 ±0.0080,91-20-3*500
Trifluoroammoniumyl,[NF3]+,g,,1093.3,1087.3,2.3,kJ/mol,71.001401 ±0.000070,54384-83-7*0
1-Methyl-1-ethylium-1-yl,[CH3CCH3]+,g,,1058.3,1045.8,1.9,kJ/mol,42.0792 ±0.0024,121408-19-3*0
Cycloprop-1-enylium,[CH2(CHC)]+,g,,1502.3,1498.0,2.2,kJ/mol,39.0554 ±0.0024,117067-78-4*0
Biphenyl,C6H5C6H5,"cr,l",,121.6,97.1,1.1,kJ/mol,154.2078 ±0.0096,92-52-4*500
Biphenyl,C6H5C6H5,cr,,121.6,97.1,1.1,kJ/mol,154.2078 ±0.0096,92-52-4*520
n-Octane,CH3(CH2)6CH3,"cr,l",,-226.3,-249.42,0.52,kJ/mol,114.2285 ±0.0065,111-65-9*500
Ethylideneoxoniumyloxy,[CH3CHOO]+,"g, anti",,950.9,938.4,2.2,kJ/mol,60.0514 ±0.0017,1427752-17-7*1
Trifluoronitrate,[NF3]-,g,,-246.8,-248.9,2.5,kJ/mol,71.002498 ±0.000070,37366-69-1*0
Aniline,C6H5NH2,"cr,l",,37.29,31.03,0.63,kJ/mol,93.1265 ±0.0048,62-53-3*500
n-Nonane,CH3(CH2)7CH3,"cr,l",,-247.63,-274.49,0.47,kJ/mol,128.2551 ±0.0073,111-84-2*500
Dihelium,He2,"g, triplet",,1733.31,1729.576,0.018,kJ/mol,8.0052040 ±0.0000040,12184-98-4*1
Isopropylidene anion,[CH3CCH3]-,g,,282.5,268.4,2.0,kJ/mol,42.0803 ±0.0024,*121408-19-3*0
Dihydrohelium cation,[HeHH]+,g,,1467.27,1461.99,0.44,kJ/mol,6.01793 ±0.00014,12500-88-8*0
Neon cation,Ne+,g,,2080.662,2080.769,0.0,kJ/mol,20.17915 ±0.00060,14782-23-1*0
Carbon dioxide cation,[CO2]+,"g, quartet",,1335.0,1335.5,2.4,kJ/mol,44.00895 ±0.00100,12181-61-2*1
Cycloprop-2-enylide,[CH(CHCH)]-,g,,514.8,511.9,2.2,kJ/mol,39.0565 ±0.0024,20829-57-6*0
n-Decane,CH3(CH2)8CH3,"cr,l",,-272.88,-300.42,0.75,kJ/mol,142.2817 ±0.0081,124-18-5*500
Pyruvic acid,CH3C(O)C(O)OH,"cr,l",,,-588.44,0.73,kJ/mol,88.0621 ±0.0026,127-17-3*500
Disulfur cation,[S2]+,g,,1031.47,1032.06,0.32,kJ/mol,64.1315 ±0.0120,12597-02-3*0
Sulfur trioxide,OS(O)O,l,,,-440.88,0.3,kJ/mol,80.0642 ±0.0061,7446-11-9*590
Cyclic thiozone,S(SS),g,,168.4,166.6,2.3,kJ/mol,96.1980 ±0.0180,*12597-03-4*0
Sulfanylium,[SH]+,g,,1148.35,1148.35,0.18,kJ/mol,33.0734 ±0.0060,12273-42-6*0
"1,5-Hexadiene",CH2CHCH2CH2CHCH2,"cr,l",,,54.55,0.31,kJ/mol,82.1436 ±0.0049,592-42-7*500
Sulfuric acid,OS(O)(OH)2,"aq, 70 H2O",,,-887.1,0.13,kJ/mol,98.0795 ±0.0061,7664-93-9*824
Trifluorine,F3,g,,80.9,82.1,2.5,kJ/mol,56.9952096 ±0.0000015,73455-86-4*0
Carbon monoxide anion,[CO]-,g,,30.0,33.7,2.3,kJ/mol,28.01065 ±0.00085,12539-63-8*0
Sulfur hydroxide oxide cation,[OHS(O)(O)O]+,"g, eclipsed",,658.6,647.8,3.4,kJ/mol,97.0710 ±0.0061,*12337-07-4*2
Sulfurous acid,S(O)(OH)2,g,,-511.32,-520.83,0.89,kJ/mol,82.0801 ±0.0061,7782-99-2*0
Iodine monochloride,ICl,cr,,-36.511,-35.537,0.063,kJ/mol,162.35717 ±0.00090,7790-99-0*510
"1,3-Propanediyl",CH2CH2CH2,"g, triplet C2",,320.3,308.5,1.5,kJ/mol,42.0797 ±0.0024,32458-33-6*12
Sulfurous acid,S(O)(OH)2,"aq, undissoc",,,-606.5,0.14,kJ/mol,82.0801 ±0.0061,7782-99-2*1000
Hydrogen sulfite,[OS(OH)O]-,"aq, undissoc",,,-631.84,0.15,kJ/mol,81.0727 ±0.0061,15181-46-1*1000
Sulfur dioxide - hydroxyl complex,(OH)(OSO),"g, vdW",,-266.1,-268.2,2.2,kJ/mol,81.0721 ±0.0061,*32750-86-0*100
Sulfate monoanion,[OS(O)(O)O]-,g,,-736.9,-744.6,2.2,kJ/mol,96.0641 ±0.0061,12143-45-2*0
Peroxyhypochlorous acid cation,[HOOCl]+,"g, trans",,1030.4,1024.5,2.5,kJ/mol,68.4589 ±0.0011,*67952-07-2*1
Isocyanogen iodide,INC,g,,341.7,341.9,4.9,kJ/mol,152.92191 ±0.00080,66004-32-8*0
Formyloxidanyl,HC(O)O,g,,-125.76,-127.13,0.55,kJ/mol,45.0174 ±0.0010,16499-21-1*0
Dioxiranyl,HC(OO),g,,217.3,213.8,2.0,kJ/mol,45.0174 ±0.0010,120595-16-6*0
Hydraziniumyl,[NH2NH2]+,g,,886.7,873.4,2.0,kJ/mol,32.04469 ±0.00031,20771-51-1*0
Carbonyl sulfide cation,[OCS]+,g,,938.88,939.97,0.32,kJ/mol,60.0756 ±0.0061,12169-37-8*0
Hydrazine,NH2NH2,"cr,l",,57.3,50.74,0.18,kJ/mol,32.04524 ±0.00031,302-01-2*500
Platinum atom cation,Pt+,g,,1427.8,1428.3,1.7,kJ/mol,195.0775 ±0.0020,20561-56-2*0
Platinum dimer,Pt2,g,,823.5,822.5,3.9,kJ/mol,390.1560 ±0.0040,12596-95-1*0
Platinum hydride,PtH,g,,451.6,450.7,3.8,kJ/mol,196.0859 ±0.0020,13966-55-7*0
Platinum hydride cation,[PtH]+,g,,1363.1,1382.3,4.9,kJ/mol,196.0854 ±0.0020,87882-39-1*0
Hydrogen atom,H,"ad, Pt(111)",,-37.0,-38.7,1.1,kJ/mol,1.007940 ±0.000070,12385-13-6*1000000
Hydrogen atom,H,"ad, 4 Pt(111)",,-33.4,-35.1,1.5,kJ/mol,1.007940 ±0.000070,12385-13-6*1000004
Hydrogen difluoride cation,[FHF]+,"g, triplet ?",,1241.0,1238.0,17.0,kJ/mol,39.004198 ±0.000070,126950-54-7*1
Diethyl ether,CH3CH2OCH2CH3,"cr,l",,-265.25,-277.57,0.75,kJ/mol,74.1216 ±0.0033,60-29-7*500
Dihydrogen cation,[H2]+,"g, ortho",,1489.06,1488.48,0.0,kJ/mol,2.01533 ±0.00014,12184-90-6*1
Borane anion,[BH3]-,g,,102.1,98.6,1.5,kJ/mol,13.8354 ±0.0070,34518-80-4*0
Trichlorine,Cl3,g,,125.3,125.8,2.0,kJ/mol,106.3581 ±0.0027,11094-65-8*0
Trifluoroborate,[BF3]-,g,,-1070.5,-1072.6,2.4,kJ/mol,67.8068 ±0.0070,37352-52-6*0
Trichloroboron anion,[BCl3]-,g,,-453.5,-453.5,3.2,kJ/mol,117.1696 ±0.0075,102210-07-1*0
Ammonium hydroxide,NH4OH,"aq, 1 H2O",,,-363.82,0.41,kJ/mol,35.04584 ±0.00047,1336-21-6*801
Diboron trioxide,OBOBO,g,,-836.1,-836.8,2.2,kJ/mol,69.6202 ±0.0140,1103242-32-5*0
1-Methylethenyl anion,[CH3CCH2]-,g,,199.4,188.2,2.0,kJ/mol,41.0723 ±0.0024,65887-19-6*0
(Iminomethyl)imidogen,HNCHN,"g, triplet",,420.1,413.3,2.9,kJ/mol,42.04006 ±0.00082,87570-07-8*1
Hypoiodous acid,HOI,"aq, undissoc",,,-146.9,4.9,kJ/mol,143.91181 ±0.00031,14332-21-9*1000
Propadienylidene,CH2CC,"g, singlet",,554.45,555.59,0.39,kJ/mol,38.0480 ±0.0024,60731-10-4*2
mu-Oxodichlorine cation,[ClOCl]+,g,,1130.45,1126.84,0.63,kJ/mol,86.9043 ±0.0018,51174-96-0*0
Hydroxymethylene,HCOH,g,,112.7,108.94,0.27,kJ/mol,30.02598 ±0.00087,19710-56-6*0
2-Methyl-2-propanol,(CH3)3COH,l,,,-358.9,1.9,kJ/mol,74.1216 ±0.0033,75-65-0*590
1-Hydroxyethenylium,[CH2COH]+,"g, anti-triplet",,1025.4,1018.3,2.9,kJ/mol,43.0441 ±0.0016,41084-89-3*11
Hydroxylamine,NH2OH,"cr,l",,,-107.43,0.6,kJ/mol,33.02996 ±0.00037,7803-49-8*500
Deuteride,D-,g,,146.991,148.904,0.0021,kJ/mol,2.01465035791 ±0.00000000040,14452-69-8*0
Acetaldehyde,CH3CHO,"cr,l",,-186.9,-191.61,0.28,kJ/mol,44.0526 ±0.0017,75-07-0*500
Hydrogen peroxide cation,[HOOH]+,"g, trans, ortho",,897.3,890.31,0.51,kJ/mol,34.01413 ±0.00062,12325-10-9*11
Methyl acetate,CH3C(O)OCH3,g,,-394.14,-413.0,0.56,kJ/mol,74.0785 ±0.0025,79-20-9*0
Tetrabromomethane,CBr4,"cr, monoclinic",,,60.61,0.96,kJ/mol,331.6267 ±0.0041,558-13-4*500
Bromomethane,CH3Br,l,,-56.18,-59.19,0.2,kJ/mol,94.9385 ±0.0013,74-83-9*590
sec-Butylium,[CH3CH2CHCH3]+,g,,792.8,769.2,1.5,kJ/mol,57.1137 ±0.0033,16548-59-7*0
Hydrogen fluoride,HF,"aq, undissoc",,,-321.37,0.16,kJ/mol,20.006343 ±0.000070,7664-39-3*1000
Trihydrogen,H(HH),"g, 2s 2A1' Ry",,745.878,743.094,0.062,kJ/mol,3.02382 ±0.00021,12184-91-7*1
Methylene,CH2,g,,391.069,391.615,0.093,kJ/mol,14.02658 ±0.00081,2465-56-7*0
2-Oxo-1-ethylium-1-yl,[HCC(O)H]+,"g, syn-quartet",,1292.0,1288.7,2.4,kJ/mol,42.0361 ±0.0016,214464-96-7*12
Methyl formate,HC(O)OCH3,g,,-346.83,-359.87,0.61,kJ/mol,60.0520 ±0.0017,107-31-3*0
Oxoethylidene anion,[HCC(O)H]-,"g, syn-gauche",,92.3,89.0,2.3,kJ/mol,42.0372 ±0.0016,106543-38-8*2
Ethyl formate,HC(O)OCH2CH3,g,,-375.0,-393.7,1.0,kJ/mol,74.0785 ±0.0025,109-94-4*0
Fluorine atom,F,"g, 2P3/2",,77.258,79.043,0.016,kJ/mol,18.99840320 ±0.00000050,14762-94-8*1
Nitride,[N]-3,g,,1879.2,1881.0,4.4,kJ/mol,14.008386 ±0.000070,18851-77-9*0
Ethyl bromide,CH3CH2Br,l,,-55.38,-90.91,0.25,kJ/mol,108.9651 ±0.0019,74-96-4*500
Hydrogen fluoride,HF,"aq, 3 H2O",,,-320.7,0.11,kJ/mol,20.006343 ±0.000070,7664-39-3*805
Difluorovinylidene cation,[CCF2]+,g,,1181.5,1183.0,2.3,kJ/mol,62.0177 ±0.0016,268566-71-8*0
Trioxygen difluoride,FOOOF,g,,112.5,107.3,1.1,kJ/mol,85.99501 ±0.00090,16829-28-0*0
Fluorine atom pentacation,[F]+5,g,,30617.6,30619.4,1.8,kJ/mol,18.99566030 ±0.00000050,14701-05-4*0
"1,2-Diiodoacetylene",ICCI,g,,416.0,416.8,2.5,kJ/mol,277.8303 ±0.0016,624-74-8*0
Chloro(chlorooxy)methylene,ClCOCl,"g, trans triplet",,101.1,104.7,4.8,kJ/mol,98.9155 ±0.0020,479587-31-0*12
Nitrogen atom trication,[N]+3,g,,9306.72,9308.58,0.23,kJ/mol,14.005094 ±0.000070,18396-22-0*0
Oxygen atom tetracation,[O]+4,g,,17719.207,17721.064,0.025,kJ/mol,15.99721 ±0.00030,14127-65-2*0
Oxygen atom trication,[O]+3,g,,10249.928,10252.88,0.018,kJ/mol,15.99775 ±0.00030,14127-64-1*0
"1,3,5-Hexatriynylium",[CCCCCCH]+,"g, singlet",,1952.5,1961.4,7.6,kJ/mol,73.0716 ±0.0048,81932-75-4*2
1-Methylethenyl hydroperoxide,CH2C(CH3)OOH,"g, gauche-perp I",,-54.9,-72.9,2.1,kJ/mol,74.0785 ±0.0025,177944-34-2*21
Carbon suboxide,OCCCO,"cr,l",,-131.2,-116.16,0.97,kJ/mol,68.0309 ±0.0025,504-64-3*500
Formylimidogen,HC(O)N,"g, singlet",,245.3,242.1,3.3,kJ/mol,43.02478 ±0.00086,42288-92-6*2
m-Benzyne,C6H4,"g, meta triplet",,615.0,605.6,1.4,kJ/mol,76.0960 ±0.0048,1828-89-3*1
Fluorosyl fluoride,FFO,"g, singlet",,227.0,225.0,21.0,kJ/mol,53.99621 ±0.00030,86825-57-2*2
Acetoxy,CH3C(O)O,g,,-182.03,-190.75,0.76,kJ/mol,59.0440 ±0.0017,13799-69-4*0
Fulvenallene,CH2CC(CHCHCHCH),"g, triplet",,549.0,536.7,2.4,kJ/mol,90.1225 ±0.0056,27041-32-3*1
Cycloheptatetraene,C(CHCHCHCHCHCH),"g, triplet",,529.1,515.1,2.3,kJ/mol,90.1225 ±0.0056,52783-93-4*1
"4,5-Bis(methylene)-2-cyclopenten-1-yl",CH(CHC(CH2)C(CH2)CH),g,,315.3,297.1,2.0,kJ/mol,91.1305 ±0.0056,302792-28-5*0
"2,5-Bis(methylene)-3-cyclopenten-1-yl",CH(C(CH2)CHCHC(CH2)),g,,321.0,302.8,2.0,kJ/mol,91.1305 ±0.0056,512782-58-0*0
Tropylide,[CH(CHCHCHCHCHCH)]-,g,,261.7,245.4,2.0,kJ/mol,91.1310 ±0.0056,34464-18-1*0
Ethynylaminylium,[HCCNH]+,"g, singlet",,1350.6,1348.8,2.5,kJ/mol,40.0435 ±0.0016,103835-08-1*2
Isoindene cation,[C6H4(CHCH2CH)]+,g,,985.2,961.9,1.8,kJ/mol,116.1593 ±0.0072,1442045-79-5*0
Indenylium,[C6H4(CHCHCH)]+,"g, triplet",,1081.2,1061.6,2.2,kJ/mol,115.1513 ±0.0072,12203-21-3*1
1-Propen-1-yl-3-ylidene,CHCHCH,"g, quartet",,656.7,653.3,1.1,kJ/mol,39.0559 ±0.0024,84654-90-0*1
Nitrogen atom pentacation,[N]+5,g,,26226.73,26228.59,0.23,kJ/mol,14.003997 ±0.000070,20508-99-0*0
Propionic acid,CH3CH2C(O)OH,g,,-435.78,-453.67,0.6,kJ/mol,74.0785 ±0.0025,79-09-4*0
Peroxyformate,[HC(O)OO]-,"g, anti",,-320.6,-326.5,1.7,kJ/mol,61.0174 ±0.0012,104960-05-6*2
"Hypochloroperoxoous acid, hydroxy ester",HOOOCl,"g, anti",,48.7,41.8,2.5,kJ/mol,84.4588 ±0.0013,928652-99-7*2
Peroxyformyl,HC(O)OO,"g, anti",,-90.4,-95.9,1.7,kJ/mol,61.0168 ±0.0012,56240-83-6*2
"Bicyclo[1.1.0]buta-1,3-diene-2,4-diyl",C(CC)C,"g, singlet",,1047.1,1054.7,0.68,kJ/mol,48.0428 ±0.0032,12184-80-4*2
Carbon trication,[C]+3,g,,8770.922,8776.068,0.046,kJ/mol,12.00905 ±0.00080,14067-06-2*0
Hydroxyoxoammoniumyl,[HONO]+,"g, cis",,1014.8,1008.5,2.0,kJ/mol,47.01293 ±0.00061,80371-48-8*2
Oxonium,[H3O]+,"g, para",,605.89,599.14,0.17,kJ/mol,19.02267 ±0.00037,13968-08-6*2
Hypochlorite,[ClO]-,aq,,,-110.485,0.076,kJ/mol,51.45265 ±0.00095,14380-61-1*1000
Fluoroimidogen,NF,"g, singlet",,369.44,369.41,0.8,kJ/mol,33.005143 ±0.000070,13967-06-1*2
Glycinate,[NH2CH2C(O)O]-,aq,,,-470.09,0.21,kJ/mol,74.0592 ±0.0017,23297-34-9*800
Trioxodinitrate anion,[ONN(O)O]-,"g, non-vdW",,-87.3,-93.0,2.2,kJ/mol,76.01223 ±0.00091,194856-62-7*1
Oxygen atom heptacation,[O]+7,g,,113369.48,113371.33,0.12,kJ/mol,15.99556 ±0.00030,14274-89-6*0
Chlorodioxidenium,[ClOO]+,g,,1215.1,1212.9,6.3,kJ/mol,67.4510 ±0.0011,64710-10-7*0
Succinic acid,(CH2C(O)OH)2,"cr,l",,-918.49,-940.22,0.12,kJ/mol,118.0880 ±0.0034,110-15-6*500
"1,2-Dibromoethane",CH2BrCH2Br,"cr,l",,,-80.1,1.2,kJ/mol,187.8612 ±0.0026,106-93-4*500
2-Iminoethyl,CH2CHNH,"g, syn",,221.8,210.4,1.8,kJ/mol,42.0599 ±0.0016,73843-90-0*1
2-Iminoethyl anion,[CH2CHNH]-,"g, anti",,110.7,100.2,2.3,kJ/mol,42.0604 ±0.0016,73843-87-5*2
"1,3-Butadien-2-ol",CH2C(OH)CHCH2,"g, s-cis, syn",,-42.6,-59.1,2.3,kJ/mol,70.0898 ±0.0032,59120-04-6*21
"1,3-Butadien-2-ol",CH2C(OH)CHCH2,"g, s-trans",,-53.3,-68.6,1.5,kJ/mol,70.0898 ±0.0032,59120-04-6*1
Carbonic acid,C(O)(OH)2,"aq, undissoc",,,-698.67,0.028,kJ/mol,62.0248 ±0.0012,463-79-6*1000
2-Iminoethylium,[CH2CHNH]+,"g, singlet",,1108.4,1097.7,2.9,kJ/mol,42.0594 ±0.0016,73843-91-1*2
Acrolein,CH2CHCHO,g,,-55.12,-65.21,0.64,kJ/mol,56.0633 ±0.0024,107-02-8*0
Oxoniumyl ion,[H2O]+,"g, ortho",,978.494,975.59,0.024,kJ/mol,18.01473 ±0.00033,56583-62-1*1
Nitrous acid anion,[HONO]-,"g, trans",,-105.4,-109.3,1.8,kJ/mol,47.01403 ±0.00061,256393-36-9*1
(E)-2-Iminoethylium,[CH2CHNH]+,"g, anti",,1108.4,1094.9,2.9,kJ/mol,42.0594 ±0.0016,91127-33-2*0
(Z)-2-Iminoethylium,[CH2CHNH]+,"g, syn",,1151.8,1143.1,3.3,kJ/mol,42.0594 ±0.0016,91127-34-3*0
(Z)-2-Iminoethylium,[CH2CHNH]+,"g, syn-triplet",,1151.8,1143.1,3.3,kJ/mol,42.0594 ±0.0016,91127-34-3*11
1-Oxo-2-propenide,[CH2CHCO]-,"g, II",,83.6,78.7,2.5,kJ/mol,55.0559 ±0.0024,78944-75-9*2
Propadien-1-olate,[CH2CCHO]-,g,,1.5,-4.4,2.5,kJ/mol,55.0559 ±0.0024,109686-13-7*0
1-Formylethenylium,[CH2CCHO]+,"g, triplet",,1158.8,1154.2,3.0,kJ/mol,55.0548 ±0.0024,101705-89-9*1
1-Hydroperoxyethylium,[CH3CHOOH]+,"g, singlet",,690.7,675.8,1.5,kJ/mol,61.0594 ±0.0017,*126898-98-4*2
3-Oxo-1-propenyl,CHCHCHO,"g, trans",,190.96,184.98,0.91,kJ/mol,55.0553 ±0.0024,206255-29-0*1
3-Oxo-1-propenyl,CHCHCHO,"g, anti-cis",,191.7,185.7,2.1,kJ/mol,55.0553 ±0.0024,206255-29-0*21
2-Formylethen-1-ide,[CHCHCHO]-,"g, anti-cis",,30.5,23.8,3.1,kJ/mol,55.0559 ±0.0024,135924-69-5*21
"1,2-Propadien-1-one cation",[CH2CCO]+,g,,1012.8,1011.3,1.8,kJ/mol,54.0468 ±0.0024,87612-93-9*0
2-Propynal cation,[CHCCHO]+,g,,1168.4,1167.2,1.2,kJ/mol,54.0468 ±0.0024,100815-70-1*0
Formylethynyl cation,[CC(CHO)]+,"g, singlet",,1540.0,1541.9,2.7,kJ/mol,53.0389 ±0.0024,*85905-64-2*2
Formylethynyl cation,[CCCHO]+,"g, triplet",,1540.7,1542.8,2.8,kJ/mol,53.0389 ±0.0024,*85905-64-2*1
(Hydroxyimino)methyl,HCNOH,"g, trans-cis",,258.9,252.8,2.0,kJ/mol,44.03272 ±0.00087,206442-92-4*2
Hypoiodite,[IO]-,aq,,,-116.3,5.4,kJ/mol,142.90442 ±0.00030,15065-65-3*800
Dioxaziridine,HN(OO),g,,277.5,270.8,1.9,kJ/mol,47.01348 ±0.00061,67394-35-8*0
1-Propenylium,[CH3CHCH]+,"g, trans",,1233.8,1223.3,2.0,kJ/mol,41.0713 ±0.0024,50457-58-4*1
1-Propenylide,[CH3CHCH]-,"g, trans",,210.4,199.3,2.0,kJ/mol,41.0723 ±0.0024,65887-20-9*1
Cyanoacetylene cation,[HCCCN]+,g,,1495.59,1497.89,0.57,kJ/mol,51.0462 ±0.0024,85398-68-1*0
Acetylene anion,[HCCH]-,g,,356.9,356.7,1.9,kJ/mol,26.0378 ±0.0016,50443-89-5*0
Isocyanoacetylene cation,[HCCNC]+,g,,1567.8,1570.4,1.3,kJ/mol,51.0462 ±0.0024,145076-03-5*0
Peroxynitrous acid cation,[HOONO]+,"g, cis, trans 2A'",,1083.0,1075.5,2.7,kJ/mol,63.01233 ±0.00091,*14691-52-2*21
Cyanoethynylium,[CCCN]+,g,,1867.6,1874.3,3.2,kJ/mol,50.0383 ±0.0024,104233-69-4*0
Ketene,CH2CO,"g, para singlet",,-45.34,-48.4,0.11,kJ/mol,42.0367 ±0.0016,463-51-4*21
Nitrosyl nitrite anion,[ONONO]-,"g, t, c",,-100.2,-103.4,2.9,kJ/mol,76.01223 ±0.00091,*122413-35-8*2
Dimethyl carbonate,C(O)(OCH3)2,g,,-550.03,-570.46,0.37,kJ/mol,90.0779 ±0.0026,616-38-6*0
2-Hydroperoxyethyl,CH2CH2OOH,"g, anti-anti",,65.2,51.4,2.2,kJ/mol,61.0599 ±0.0017,126898-97-3*11
3-Imino-2-propen-1-ylidene,CHCHCNH,"g, singlet",,530.7,526.4,1.2,kJ/mol,53.0627 ±0.0024,916765-05-4*1
2-(Methylidyneamino)ethenyl,CHCHNCH,"g, singlet",,600.7,596.4,1.2,kJ/mol,53.0627 ±0.0024,123416-74-0*1
Isocyanogen bromide anion,[BrNC]-,g,,105.1,101.9,4.6,kJ/mol,105.9220 ±0.0013,*238754-53-5*0
Methyl hydrocarbonate,C(O)(OH)OCH3,g,,-577.0,-591.8,0.87,kJ/mol,76.0514 ±0.0019,7456-87-3*0
mu-Oxodichlorate anion,[ClOCl]-,g,,-147.8,-147.7,2.5,kJ/mol,86.9053 ±0.0018,365546-30-1*0
Fluorine atom hexacation,[F]+6,g,,45781.5,45783.3,1.8,kJ/mol,18.99511172 ±0.00000050,14701-04-3*0
Tetraoxygen,O4,"g, D2h singlet",,69.8,65.1,4.4,kJ/mol,63.9976 ±0.0012,12596-83-7*21
Tetraoxygen,O4,"g, D2d singlet",,399.0,393.4,3.9,kJ/mol,63.9976 ±0.0012,12596-83-7*23
Tetraoxygen,O4,"g, D3h singlet",,465.6,459.6,4.2,kJ/mol,63.9976 ±0.0012,12596-83-7*24
Trioxirane cation,[O(OO)]+,g,,1444.4,1442.2,2.2,kJ/mol,47.99765 ±0.00090,*153851-84-4*0
Cyclopentadiene,CH2(CHCHCHCH),l,,,110.38,0.56,kJ/mol,66.1011 ±0.0040,542-92-7*590
Nitrogen atom tetracation,[N]+4,g,,16781.77,16783.64,0.23,kJ/mol,14.004546 ±0.000070,14452-70-1*0
Chlorine atom dication,[Cl]+2,g,,3668.474,3670.081,0.013,kJ/mol,35.45160 ±0.00090,15723-23-6*0
Chlorine atom,Cl,"g, 2P3/2",,119.621,121.228,0.0011,kJ/mol,35.45270 ±0.00090,22537-15-1*1
Nitrogen atom anion,N-,g,,488.3,490.5,2.3,kJ/mol,14.007289 ±0.000070,17778-87-9*0
"1,2-Butadien-1-ylium-1-yl",[CH3CHCC]+,g,,1466.9,1461.8,3.1,kJ/mol,52.0740 ±0.0032,161054-21-3*0
2-Aminoethenylium,[CHCHNH2]+,"g, syn triplet",,1117.9,1106.8,2.4,kJ/mol,42.0594 ±0.0016,64724-21-6*11
Bicyclo[1.1.0]butan-3-id-1-yl,[CH2(CC)CH2]-,g,,524.7,516.0,2.6,kJ/mol,52.0751 ±0.0032,131273-95-5*0
"1,2-Cyclobutadiene",C(CHCH2CH),g,,586.0,579.4,2.2,kJ/mol,52.0746 ±0.0032,50682-90-1*0
Formic acid,HC(O)OH,"aq, undissoc",,,-425.35,0.45,kJ/mol,46.0254 ±0.0010,64-18-6*1000
2-Aminoethenyl anion,[CHCHNH2]-,"g, syn",,242.0,231.3,2.6,kJ/mol,42.0604 ±0.0016,*64724-21-6*1
Tribromine cation,[Br3]+,g,,1036.3,1013.6,2.5,kJ/mol,239.7115 ±0.0030,33105-86-1*0
Ammonium hydroxide,NH4OH,"aq, undissoc",,,-366.685,0.059,kJ/mol,35.04584 ±0.00047,1336-21-6*1000
